Qty,Reference Designator,Description,Manufacturer Part Number,Vendor,Vendor Part Number
2,D10 D15,LED WARM WHITE 2700K SMD,BXEP-27E-435-09A-00-00-0,Digi-Key,
2,D5 D20,LED WARM WHITE 2700K SMD,BXEP-27E-435-09A-00-00-0,Digi-Key,
1,J1,,FLE-106-01-G-DV-A,Digi-Key,SAM9404-ND
6,D1 D3 D11 D13 D21 D23,High Power LEDs - Single Color PC Amber, 588-592nm,L135-A589003500000,Mouser,997-L135-A5890035
6,D6 D8 D16 D18 D25 D27,High Power LEDs - Single Color Green 520nm-540nm,L135-G525003500000,Mouser,997-L135-G5250035
6,D7 D9 D17 D19 D26 D28,High Power LEDs - Single Color Red 620nm-630nm,L135-R625003500000,Mouser,997-L135-R6250035
6,D2 D4 D12 D14 D22 D24,High Power LEDs - Single Color Royal Blue 445-455nm,L135-U450003500000,Mouser,997-L135-U4500035
