Qty,Reference Designator,Vendor Part Number
100,FB1-6,490-5257-1-ND
10,J1,HR1972CT-ND
50,Q1-3,MMBT2222LT1GOSCT-ND
10,U7,296-36514-1-ND
20,CON1-2,0936273606-ND
10,X1,535-10901-1-ND
10,X2,535-10297-1-ND
10,U1,785-1644-1-ND
20,U6 U9,AOZ8804ADI-ND
50,D2-4,754-1121-1-ND
10,U5,535-11094-1-ND
100,R2 R6 R23,P1.00KLCT-ND
100,R7 R10-12 R16 R18-19 R25 R27,P10.0KLCT-ND
100,R37 R48,P100KLCT-ND
100,R36,P1.50KLCT-ND
100,R4,P16.2KLCT-ND
100,R60 R62-63,P2.00KLCT-ND
100,R5,P300LCT-ND
100,R51,P30.1KLCT-ND
100,R8,P38.3KLCT-ND
100,R1,P402KLCT-ND
100,R3 R13-15 R17,P49.9KLCT-ND
100,R55,P52.3KLCT-ND
100,R24 R26,P120LCT-ND
100,R54,P12.0KLCT-ND
200,R38-46 R49-50 R52-53 R56,P22.0LCT-ND
100,R29-30,P330LCT-ND
100,R28 R31-35 R47 R57 R59,P4.70KLCT-ND
30,SW1-3,450-1140-ND
10,U10,768-1026-1-ND
100,C37 C49,490-5921-1-ND
100,C60-61,490-5869-1-ND
100,C28 C43,490-10017-1-ND
500,C1 C9-10 C15-27 C29-31 C34-36 C38-42 C44 C46-48 C50-56 C59 C63-64,490-10697-1-ND
100,C2,490-10024-1-ND
100,C3-4,490-4516-1-ND
100,C57-58 C62,490-7201-1-ND
100,C14 C32-33 C45,490-10481-1-ND
100,C7 C11,490-5523-1-ND
100,C12-13,490-5528-1-ND
100,C5-6,490-5961-1-ND
100,C8,490-5524-1-ND
25,R58,RHM12.0KLCT-ND
15,L1,587-3448-1-ND
15,L3,587-4288-1-ND
10,D1,RB160M-60CT-ND
15,L2,SRR1210-100MCT-ND
10,U4,USB3503/ML-ND
10,U2,946-MP2360DGLFP
10,U3,1683-1002-ND
25,R61,P1.00MLCT-ND
