Qty,Reference Designator,Description,Manufacturer Part Number,Vendor,Vendor Part Number
2,J1 J5,CONN HEADER 2POS 4.2MM VERT TIN,39299023,Digi-Key,WM3853-ND
3,J2-4,,395311008,Digi-Key,WM7842-ND
1,J6,IDC BOX HEADER 0.050 10 POS,3220-10-0300-00,Digi-Key,1175-1629-ND
2,R46-47,,3522200RFT,Digi-Key,A121182CT-ND
1,X1,CRYSTAL 16.0000MHZ 18PF SMD,ABM8G-16.000MHZ-18-D2Y-T,Digi-Key,535-10267-1-ND
2,U7 U9,,ALM2402QDRRRQ1,Digi-Key,296-41954-1-ND
2,FB1-2,,BLM18KG471SN1D,DIGIKEY,490-5257-1-ND
8,U2-5 U11-14,,BTN8962TAAUMA1,Digi-Key,BTN8962TAAUMA1INCT-ND
4,C18 C25 C27 C33,,C2012X5R1A106K125AB,Digi-Key,445-7660-1-ND
1,R3,RES SMD 1 OHM 5% 2W 2512,CRM2512-JW-1R0ELF,Digikey,CRM2512-JW-1R0ELFCT-ND
3,R37 R41 R44,RES 1K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
5,R14 R19 R27 R32 R48,,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND
6,R16 R28-30 R17 R15,RES 10K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND
10,R4-5 R9-10 R18 R22 R31 R36 R38 R43,RES 100K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND
1,R23,RES 16.2K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1622X,Digi-Key,P16.2KLCT-ND
1,R2,RES 3.48K OHM 1/10W 1% 0402 SMD,ERJ-2RKF3481X,Digi-Key,P3.48KLCT-ND
2,R1 R21,RES 49.9K OHM 1/10W 1% 0402 SMD,ERJ-2RKF4992X,Digi-Key,P49.9KLCT-ND
10,R7-8 R12-13 R34-35 R39-40 R42 R45,RES 5.1K OHM 1/10W 1% 0402 SMD,ERJ-2RKF5101X,Digi-Key,P5.10KLCT-ND
4,R11 R20 R26 R33,RES 22K OHM 1/10W 1% 0402 SMD,ERJ2RKF2202X,Digi-Key,P22.0KLCT-ND
2,R24-25,RES 2.7K OHM 1/10W 1% 0402 SMD,ERJ2RKF2701X,Digi-Key,P2.70KLCT-ND
2,C36-37,CAP CER 10PF 50V 5% 0402,GRM1555C1H100JA01D,Digi-Key,490-5921-1-ND
13,C5 C11-12 C15 C19-20 C29-30 C32 C34 C39 C41 C43,CAP CER 0.1UF 50V 10% X5R 0402,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
2,C26 C40,,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
2,C2 C17,CAP CER 10000PF 25V 10% X7R 0402,GRM155R71E103KA01D,Digi-Key,490-1312-1-ND
6,C1 C4 C16 C21 C23 C31,CAP CER 10UF 25V 10% X5R 0805,GRM21BR61E106KA73L,Digi-Key,490-5523-1-ND
4,C7-10,CAP CER 22UF 25V 20% X5R 0805,GRM21BR61E226ME44L,Digi-Key,490-10749-1-ND
2,C3 C22,CAP CER 10UF 35V 10% X5R 1206,GRM31CR6YA106KA12L,Digi-Key,490-5524-1-ND
8,C6 C13-14 C24 C28 C35 C38 C42,,GRM32ER71H106KA12L,Digi-Key,490-6544-1-ND
1,U15,IC RCVR ESD RS485/422 LP SOT23-6,ISL3283EIHZ-T,Digi-Key,ISL3283EIHZ-TCT-ND
1,U8,SENSOR TEMP I2C/SMBUS 8DFN,MCP9808T-E/MC,Digi-Key,MCP9808T-E/MCCT-ND
1,U10,IC MCU 32BIT 64KB FLASH 32QFN,MKV11Z64VFM7,Digi-Key,568-13578-ND
1,D1,DIODE ZENER 24V 200MW SOD323F,MM3Z24VB,Digi-Key,MM3Z24VBTR-ND
1,Q1,TRANS NPN 30V 0.6A SOT23,MMBT2222LT1G,Digikey,MMBT2222LT1GOSCT-ND
2,U1 U6,Voltage Regulators - Switching Regulators 1A 24V 1.4MHz Non-sync Buck,MP2360DG-LF-P,Mouser,946-MP2360DGLFP
2,L1-2,FIXED IND 1UH 1.7A 70 MOHM SMD,NRS2012T1R0NGJ,Digi-Key,587-3448-1-ND
3,D4-5 D7,DIODE SCHOTTKY 60V 1A PMDU,RB160M-60TR,Digi-Key,RB160M-60CT-ND
1,R6,RES 499 OHM 1% 1/2W 1206,RNCP1206FTD499R,Digi-Key,RNCP1206FTD499RCT-ND
5,D2-3 D6 D8-9,DIODE SCHOTTKY 45V 15A DO214AB,SK1545-TP,Digi-Key,SK1545-TPCT-ND
