Item,Qty,Reference,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
1,3,J2 J5 J7,"8 Position Wire to Board Terminal Block Horizontal with Board 0.197"" (5.00mm) Through Hole",Phoenix Contact,1935226,Digi-Key,277-1583-ND
2,1,J6,"16 Position Wire to Board Terminal Block Horizontal with Board 0.197"" (5.00mm) Through Hole",Phoenix Contact,1935307,Digi-Key,277-1591-ND
3,1,J1,CONN HEADER 3POS R/A W/NAIL SMD,Molex,436500313,Digi-Key,WM1896TR-ND
4,1,J4,CONN HDR 2POS 7.50MM R/A SLDR,Molex,1720430202,Digi-Key,1720430202-ND
5,4,F2-5,PTC Resettable Fuse 30V 200mA Ih Surface Mount 1206 (3216 Metric) Concave,Bel Fuse Inc.,0ZCJ0020FF2E,Digi-Key,507-1797-1-ND
6,1,J3,100 MIL 2X20 HEADER,,,,609-4724-ND
7,8,D4-11,DIODE SWITCHING 75V 0.15A SOD323,Diodes Incorporated,1N4148WS-7-F,Digi-Key,1N4148WS-FDICT-ND
8,1,U3,IC REG BUCK SYNC ADJ 6A 30LQFN,Alpha & Omega,AOZ1232QI-01,Digi-Key,785-1644-1-ND
9,8,Q5-12,,Fairchild,BSS123,Digi-Key,BSS123NCT-ND
10,8,Q13-20,IC HIGH SIDE PWR SWITCH DPAK-5,Infineon,BTS6133D,Digi-Key,BTS6133DCT-ND
11,20,C1 C5-6 C8-10 C16-18 C27-34 C44 C46-47,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
12,8,C19-26,CAP CER 1000PF 50V 10% X5R 0402,Murata,GRM155R61H102KA01D,Digi-Key,490-6316-1-ND
13,5,C2-4 C7 C11,CAP CER 1UF 6.3V 10% 0402,Murata,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
14,4,C12 C14 C35 C45,CAP CER 10UF 25V 10% X5R 1206,Murata,GRM31CR61H106KA12L,Digi-Key,490-5961-1-ND
15,2,C13 C15,CAP CER 47UF 10V 20% X5R 1206,Murata,GRM31CR61A476ME15L,Digi-Key,490-5528-1-ND
16,8,C36-43,CAP CER 10UF 50V 10% X7R 1210,Murata,GRM32ER71H106KA12L,Digi-Key,490-6544-1-ND
17,8,T1-8,2 Line Common Mode Choke Surface Mount 33 Ohm @ 100MHz 15A DCR 0.75 mOhm,Laird,CM2021Y330R-10,Digi-Key,240-2502-1-ND
18,8,R57-64,RES SMD 0.005 OHM 1% 1W 1206,Stackpole Electronics Inc.,CSRF1206FT5L00,Digi-Key,CSRF1206FT5L00TR-ND
19,3,SW1-3,SWITCH TACT 6X3.5MM SMD 180GF,Tyco,FSMSM,Digi-Key,450-1140-ND
20,1,F1,,,,,F5187-ND
21,1,U13,,,,Digi-Key,296-12602-1-ND
22,8,U5-12,IC OPAMP CURR SENSE 14KHZ SC70-6,TI,INA213BIDCKR,Digi-Key,296-40129-1-ND
23,4,Q21-24,MOSFET N+P 30V 2A MICRO8,International Rectifier,IRF7509TR,Digi-Key,IRF7509CT-ND
24,3,D1-3,,Kingbrite,APT1608SGC,DIGIKEY,754-1121-1-ND
25,2,U4 U14,IC OPAMP GP 1.2MHZ 14TSSOP,TI,LM324PWR,Digi-Key,296-9545-1-ND
26,16,R6 R9 R15 R18 R30 R36 R77 R82 R85-92,RES 100K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND
27,22,R1-5 R7-8 R10 R13-14 R16-17 R20 R25 R29 R32 R35 R38 R75 R78 R81 R84,RES 10K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND
28,3,R21-23,RES 120 OHM 1/10W 5% 0402 SMD,Panasonic - ECG,ERJ-2GEJ121X,Digi-Key,P120JCT-ND
29,16,R41-56,RES 0 OHM 1/10W 0402 SMD,Panasonic - ECG,ERJ-2RKF1912X,Digi-Key,P0.0JCT-ND
30,4,R27 R33 R65 R79,RES SMD 1 OHM 1% 1/6W 0402,Panasonic - ECG,ERJ-2BQF1R0X,Digi-Key,P17252CT-ND
31,5,R31 R37 R39 R76 R83,RES 1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
32,4,R28 R34 R74 R80,RES 4.22K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4221X,Digi-Key,P4.22KLCT-ND
33,1,R19,RES 40.2K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4022X,Digi-Key,P40.2KLCT-ND
34,1,R26,RES 402K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4023X,Digi-Key,P402KLCT-ND
35,8,R66-73,RES 499 OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4990X,Digi-Key,P499LCT-ND
36,1,R24,RES 53.6K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF5362X,Digi-Key,P53.6KLCT-ND
37,1,R40,RES 6.98K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF6981X,Digi-Key,P6.98KLCT-ND
38,1,R11,RES 8.2K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ2RKF8201X,Digi-Key,P8.20KLCT-ND
39,1,R12,RES 91K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ2RKF9102X,Digi-Key,P91.0KLCT-ND
40,1,L1,FIXED IND 10UH 6.5A 18 MOHM SMD,Bourns,SRR1210-100M,Digi-Key,SRR1210-100MCT-ND
43,4,Q1-4,,,,Digi-Key,MMBT3904FSCT-ND
44,1,U1,IC VIDEO SWITCH QUAD SPDT 16SSOP,TI,TS5V330CDBQR,Digi-Key,296-25417-1-ND
