Qty,Reference,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
1,R40,RES 200K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF2003X,Digi-Key,P200KLCT-ND
8,R159 R161-163 R168-171,RES 2K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF2001X,Digi-Key,P2.00KLCT-ND
4,R56 R103 R121 R129,RES 4.22K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4221X,Digi-Key,P4.22KLCT-ND
1,R45,RES 40.2K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4022X,Digi-Key,P40.2KLCT-ND
1,R52,RES 402K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4023X,Digi-Key,P402KLCT-ND
1,R50,RES 53.6K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF5362X,Digi-Key,P53.6KLCT-ND
1,R119,RES 6.98K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF6981X,Digi-Key,P6.98KLCT-ND
2,R179 R181,RES 68.1 OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF68R1X,Digi-Key,P68.1LCT-ND
1,R104,RES 8.2K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ2RKF8201X,Digi-Key,P8.20KLCT-ND
1,R39,RES 910K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF9103X,Digi-Key,P910KLCT-ND
1,R106,RES 91K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ2RKF9102X,Digi-Key,P91.0KLCT-ND
1,C23,CAPACITOR 1.5F 20% 5V THRU HOLE,AVX,SCMR22C155MSBA0,Digi-Key,478-10014-ND
1,L2,FIXED IND 10UH 6.5A 18 MOHM SMD,Bourns,SRR1210-100M,Digi-Key,SRR1210-100MCT-ND
1,U1,Teensy 3.6 With Pins,PJRC,Teensy 3.6 With Pins,PJRC,Teensy 3.6 With Pins
