Qty,Reference,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
5,J3 J14 J18 J25-26,8 Position Terminal Block Header Male Pins Shrouded,Molex,395311008,Digi-Key,WM7842-ND
4,F1-4,PTC Resettable Fuse 24V Ih Surface Mount 1206 (3216 Metric) Concave,Bel Fuse Inc.,0ZCJ0050AF2E,Digi-Key,507-1803-1-ND
1,J4,100 MIL 1X2 HEADER,Samtec,TSW-102-07-F-S,Digi-Key,SAM10844-ND
1,J17,100 MIL 1X6 HEADER,Samtec,TSW-106-07-F-S,Digi-Key,SAM10852-ND
1,J13,100 MIL 2X20 HEADER,Samtec,TSW-120-07-F-D,Digi-Key,SAM10358-ND
1,J31,CONN HEADR 2.54MM 24POS GOLD SMD,Sullins,SBH11-NBPC-D12-SM-BK,Digi-Key,S9189-ND
10,D9-10 D14-18 D20-21 D23,DIODE SWITCHING 75V 0.15A SOD323,Diodes Incorporated,1N4148WS-7-F,Digi-Key,1N4148WS-FDICT-ND
1,ANT1,Printed NFC Coil Antenna,NA,NA,NA,NA
3,Q1-3,MOSFET N-CH 60V 115MA SOT-23,Fairchild,2N7002,Digi-Key,2N7002NTR-ND
2,J5 J7,CONN MOD JACK R/A 8P8C SHIELDED,Molex,44661-0001,Digi-Key,WM5463-ND
1,U8,POE Module,Silvertel,AG9724-FL,Symmetry Electronics,AG9724-FL
4,K1-4,RELAY TELECOM DPDT 1A 4.5V,Panasonic,AGN200S4H,Digi-Key,255-1854-ND
1,U4,IC REG BUCK SYNC ADJ 6A 30LQFN,Alpha & Omega,AOZ1232QI-01,Digi-Key,785-1644-1-ND
3,D19 D22 D24,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,Digi-Key,B360A-FDICT-ND
8,D25-32,Diode Schottky 30V 200mA (DC) Surface Mount SOD-123,On Semi,BAT54T1G,Digi-Key,BAT54T1GOSCT-ND
4,D1 D6-8,DIODE ARRAY 70V 200MA SOT23,Diodes Inc.,BAV99-7-F,Digi-Key,BAV99-FDICT-ND
23,C1 C4 C10-13 C15 C17-19 C22-24 C29 C33-34 C38-39 C48 C50-51 C55 C59,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
5,C20 C37 C46 C52 C58,CAP CER 1000PF 25V 5% NP0 0402,Murata,GRM1555C1E102JA01D,Digi-Key,490-6169-1-ND
1,C49,CAP CER TBD 0402,Murata,TBD,Digi-Key,TBD
6,C2-3 C5 C14 C21 C32,CAP CER 1UF 6.3V 10% 0402,Murata,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
4,C6-9,CAP CER 0.1UF 100V 10% X7R 0603,Murata,GRM188R72A104KA35D,Digi-Key,490-3285-1-ND
9,C35 C43-45 C47 C53-54 C56-57,CAP CER 10UF 10V 10% X5R 0805,TDK,C2012X5R1A106K125AB,Digi-Key,445-7660-1-ND
5,C16 C25 C27 C30 C36,CAP CER 10UF 25V 10% X5R 1206,Murata,GRM31CR61H106KA12L,Digi-Key,490-5961-1-ND
3,C26 C28 C31,CAP CER 47UF 10V 20% X5R 1206,Murata,GRM31CR61A476ME15L,Digi-Key,490-5528-1-ND
1,C42,CAP ALUM 100UF 20% 63V RADIAL,Nichicon,UPJ1J101MPD1TD,Digi-Key,493-11876-1-ND
1,C41,CAP ALUM 560UF 6.3V 20% RADIAL,Panasonic,EEU-FM0J561,Digi-Key,P12348-ND
