Qty,Reference,Vendor Part Number
15,J4 J8 J11,277-1583-ND
40,J6-7 J9-10 J12-15,WM7063CT-ND
20,F1-4,507-1797-1-ND
5,J1,3M9447-ND
5,J5,609-3221-ND
40,D4-5 D7-8 D10 D12-14,1N4148WS-FDICT-ND
20,Q1 Q3-4 Q8,2N7002NTR-ND
10,J2-3,WM5463-ND
5,U5,AG9724-FL
5,U2,785-1644-1-ND
15,D6 D9 D11,B360A-FDICT-ND
100,C1 C9 C11-13 C16 C20 C22-23 C27 C30-31,490-10697-1-ND
100,C2-4 C10 C14 C24,490-10024-1-ND
100,C5-8,490-3285-1-ND
25,C25,445-7660-1-ND
25,C15 C18 C26 C28,490-5961-1-ND
25,C17 C19 C21,490-5528-1-ND
5,T1,FA2536-ALB
15,SW1-3,450-1140-ND
5,U3,MC74HC595ADTR2GOSCT-ND
5,U7,296-12602-1-ND
20,Q9-12,IRF7509CT-ND
15,D1-3,754-1121-1-ND
10,U4 U8,296-9545-1-ND
5,U6,576-4864-1-ND
5,L2,587-3448-1-ND
100,R7 R13 R17 R22 R35 R43 R58 R63 R66-69 R71-74,P100KLCT-ND
100,R52,P100LCT-ND
200,R2-6 R9-12 R14-16 R19-21 R24 R29 R34 R37 R40 R45 R50 R56 R59 R62 R65,P10.0KLCT-ND
100,R25-27,P120JCT-ND
100,R31 R38 R53 R60,P17252CT-ND
100,R1 R36 R41 R44 R57 R64,P1.00KLCT-ND
100,R47,P200KLCT-ND
100,R33 R39 R55 R61,P4.22KLCT-ND
100,R23,P40.2KLCT-ND
100,R30,P402KLCT-ND
100,R18 R32 R54 R70 R75-78,P49.9LCT-ND
100,R28,P53.6KLCT-ND
100,R42,P6.98KLCT-ND
100,R46,P910KLCT-ND
5,C29,478-10014-ND
5,L1,SRR1210-100MCT-ND
5,U1,1568-1465-ND
20,Q2 Q5-7,MMBT3904FSCT-ND
