Qty,Reference,Vendor P/N
5,J3 J6-7 J9-10,277-1583-ND
5,F1-4,507-1803-1-ND
1,J1,3M9447-ND
1,J8,3M9451-ND
1,J5,609-3221-ND
1,J11,S5721-ND
10,D5-6 D10-14 D16-17 D19,1N4148WS-FDICT-ND
4,Q1-4,2N7002NTR-ND
2,J2 J4,WM5463-ND
1,U8,AG9724-FL
4,K1-4,255-1854-ND
1,U4,785-1644-1-ND
3,D15 D18 D20,B360A-FDICT-ND
10,D21-28,BAT54T1GOSCT-ND
10,D1-4,BAV99-FDICT-ND
100,C1 C4 C6 C11-13 C15 C17-19 C22-24 C29 C33-34 C38-39 C46-47 C51 C55,490-10697-1-ND
50,C21 C37 C44 C48 C54,490-6169-1-ND
50,C2-3 C5 C14 C20 C32,490-10024-1-ND
50,C7-10,490-3285-1-ND
50,C35 C41-43 C45 C49-50 C52-53,445-7660-1-ND
50,C16 C25 C27 C30 C36,490-5961-1-ND
50,C26 C28 C31,490-5528-1-ND
1,C56,493-11876-1-ND
1,C57,P12348-ND
5,Q7 Q11 Q15 Q19,DMN2400UV-7DICT-ND
10,Q5 Q8-9 Q12-13 Q16-17 Q20,DXT2012P5-13TR-ND
1,T1,FA2536-ALB
3,SW1-3,450-1140-ND
1,U10,296-12602-1-ND
5,Q6 Q10 Q14 Q18,IRF7509CT-ND
1,U5,ISL83490IBZ-ND
3,D7-9,754-1121-1-ND
5,U2-3 U7 U12-13,296-9545-1-ND
1,U9,576-4864-1-ND
1,U11,NCP303LSN27T1GOSCT-ND
1,L2,587-3448-1-ND
1,U6,PS2801-1ACT-ND
50,R43 R59 R72 R81,P100KLCT-ND
50,R89,P100LCT-ND
100,R2 R5-7 R11 R15 R19 R21 R23 R25-28 R30 R32-35 R40 R42 R45 R49 R53 R56-57 R61 R70 R73 R76 R83 R86-87 R93 R95-99 R101-103 R106-107 R109-113 R115-118 R121-122 R124-125 R127-132 R134-135,P10.0KLCT-ND
50,R50-52,P120JCT-ND
50,R39 R46 R67 R74,P17252CT-ND
50,R1 R3 R9 R13 R17 R24 R29 R31 R36-38 R44 R60 R71 R77 R82 R90,P1.00KLCT-ND
50,R80,P200KLCT-ND
50,R92 R94 R105 R108 R120 R123 R136-137,P2.00KLCT-ND
50,R41 R47 R69 R75,P4.22KLCT-ND
50,R48,P40.2KLCT-ND
50,R58,P402KLCT-ND
50,R55,P53.6KLCT-ND
50,R78,P6.98KLCT-ND
50,R64 R66,P68.1LCT-ND
50,R79,P910KLCT-ND
1,C40,478-10014-ND
1,L1,SRR1210-100MCT-ND
