Qty,Reference Designator,Description,Manufacturer Part Number,Vendor,Vendor Part Number
12,C1 C19 C22-23 C25-32,,GRM21BR71H104KA01L,Digi-Key,490-1666-1-ND
8,C11-16 C18 C24,CAP CER 1UF 6.3V 10% 0402,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
1,C2,,GRM31CR6YA106KA12L,Digi-Key,490-5524-1-ND
4,C20-21 C33-34,,GRM21BR61E226ME44L,Digi-Key,490-10749-1-ND
1,C3,,GRM155R71E103KA01D,Digi-Key,490-1312-1-ND
4,C4 C7 C9 C17,,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
2,C5-6,CAP CER 10UF 25V 10% X5R 1206,GRM21BR61E106KA73L,Digi-Key,490-5523-1-ND
2,C8 C10,,GRM1555C1H100JA01D,Digi-Key,490-5921-1-ND
48,D1 D3 D15 D17 D19 D21 D23 D45 D47 D49 D51 D53 D55 D85 D87 D89 D91 D93 D95 D97 D128 D130 D132 D134 D136 D138 D140 D142 D180 D182 D184 D186 D188 D190 D192 D224 D226 D228 D230 D232 D234 D262 D264 D266 D268 D270 D293 D295,,L135-R625003500000,Mouser,997-L135-R6250035
48,D10 D12 D36 D38 D40 D42 D44 D70 D72 D74 D76 D78 D80 D114 D116 D118 D120 D122 D124 D126 D161 D163 D165 D167 D169 D171 D173 D175 D210 D212 D214 D216 D218 D220 D222 D249 D251 D253 D255 D257 D259 D283 D285 D287 D289 D291 D302 D304,,L135-A589003500000,Mouser,997-L135-A5890035
12,D13 D81-82 D84 D127 D208 D223 D260-261 D292 D305-306,,B560C-13-F,Digi-Key,B560C-FDICT-ND
1,D14,,RB160M-60TR,Digi-Key,RB160M-60CT-ND
48,D2 D4 D16 D18 D20 D22 D24 D46 D48 D50 D52 D54 D56 D86 D88 D90 D92 D94 D96 D98 D129 D131 D133 D135 D137 D139 D141 D143 D181 D183 D185 D187 D189 D191 D193 D225 D227 D229 D231 D233 D235 D263 D265 D267 D269 D271 D294 D296,,L135-G525003500000,Mouser,997-L135-G5250035
48,D5 D7 D25 D27 D29 D31 D33 D57 D59 D61 D63 D65 D67 D99 D101 D103 D105 D107 D109 D111 D144 D146 D148 D150 D152 D154 D156 D158 D194 D196 D198 D200 D202 D204 D206 D236 D238 D240 D242 D244 D246 D272 D274 D276 D278 D280 D297 D299,,BXEP-27E-435-09A-00-00-0,Digi-Key,976-1632-1-ND
48,D6 D8 D26 D28 D30 D32 D34 D58 D60 D62 D64 D66 D68 D100 D102 D104 D106 D108 D110 D112 D145 D147 D149 D151 D153 D155 D157 D159 D195 D197 D199 D201 D203 D205 D207 D237 D239 D241 D243 D245 D247 D273 D275 D277 D279 D281 D298 D300,,BXEP-50E-435-09A-00-00-0,Digi-Key,976-1636-1-ND
6,D83 D176-179 D307,DIODE SCHOTTKY 45V 15A 5DFN,NTS1545MFST1G,Digi-Key,NTS1545MFST1GOSTR-ND
48,D9 D11 D35 D37 D39 D41 D43 D69 D71 D73 D75 D77 D79 D113 D115 D117 D119 D121 D123 D125 D160 D162 D164 D166 D168 D170 D172 D174 D209 D211 D213 D215 D217 D219 D221 D248 D250 D252 D254 D256 D258 D282 D284 D286 D288 D290 D301 D303,,L135-U450003500000,Mouser,997-L135-U4500035
1,FB1,,BLM18KG471SN1D,DIGIKEY,490-5257-1-ND
1,J1,,3220-10-0300-00,Digi-Key,1175-1629-ND
1,J2,CONN HEADER 2POS 4.2MM VERT TIN,39299023,Digi-Key,WM3853-ND
12,L1 L3-13,,SRR1210-330M,,SRR1210-330MCT-ND
1,L2,,NRS2012T1R0NGJ,Digi-Key,587-3448-1-ND
3,Q1-3,MOSFET 2N-CH 20V 1.33A SOT563,DMN2400UV-7,Digi-Key,DMN2400UV-7DICT-ND
8,R1 R28 R33-34 R36-39,,KRL1220E-M-R033-F-T5,Digi-Key,408-1550-1-ND
7,R2 R8-9 R12 R15 R19 R21,,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND
2,R24 R26,,ERJ-2RKF5101X,Digi-Key,P5.10KLCT-ND
2,R29 R42,,RNCP1206FTD499R,Digi-Key,RNCP1206FTD499RCT-ND
1,R3,,ERJ-2RKF4992X,Digi-Key,P49.9KLCT-ND
4,R30 R35 R40-41,,RL1220S-R12-F,Digi-Key,RL12S.12FCT-ND
2,R31-32,,ERJ2RKF2701X,Digi-Key,P2.70KLCT-ND
1,R4,,ERJ-2RKF1622X,Digi-Key,P16.2KLCT-ND
15,R5-7 R10-11 R13-14 R16-18 R20 R22-23 R25 R27,,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
8,U1 U5 U7 U9 U11-14,IC LED MV INT SWITCH SO-8EP,AL8843SP-13,Digi-Key,AL8843SP-13DICT-ND
1,U2,,MP2360DG-LF-P,Mouser,946-MP2360DGLFP
1,U3,,MKV11Z64VFM7,Digi-Key,568-13578-ND
1,U4,,ISL3283EIHZ-T,Digi-Key,ISL3283EIHZ-TCT-ND
4,U6 U10 U15-16,IC LED DRVR TSOT25,AL8860WT-7,Digi-Key,AL8860WT-7DICT-ND
1,U8,,MCP9808T-E/MC,Digi-Key,MCP9808T-E/MCCT-ND
1,X1,,ABM8G-12.000MHZ-4Y-T3,Digi-Key,535-10901-1-ND
