Qty,Reference Designator,Description,Manufacturer Part Number,Vendor,Vendor Part Number
9,TP1-9,,,,
1,J2,CONN HEADER 2POS 4.2MM VERT TIN,0039299023,Digi-Key,WM3853-ND
1,J1,IDC BOX HEADER 0.050 10 POS,3220-10-0300-00,Digi-Key,1175-1629-ND
1,X1,CRYSTAL 12MHZ 10PF SMD,ABM8G-12.000MHZ-4Y-T3,Digi-Key,535-10901-1-ND
8,U1 U5 U7 U9 U11-14,IC LED MV INT SWITCH SO-8EP,AL8843SP-13,Digi-Key,AL8843SP-13DICT-ND
4,U6 U10 U15-16,IC LED DRVR TSOT25,AL8860WT-7,Digi-Key,AL8860WT-7DICT-ND
12,D13 D83-84 D86 D129 D210 D225 D262-263 D294 D307-308,DIODE SCHOTTKY 60V 5A SMC,B560C-13-F,Digi-Key,B560C-FDICT-ND
1,FB1,FERRITE CHIP 470 OHM 1500MA 0603,BLM18KG471SN1D,DIGIKEY,490-5257-1-ND
3,Q1-3,MOSFET 2N-CH 20V 1.33A SOT563,DMN2400UV-7,Digi-Key,DMN2400UV-7DICT-ND
21,R6-24 R26 R28,RES 1K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
1,R2,RES 100K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND
1,R5,RES 16.2K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1622X,Digi-Key,P16.2KLCT-ND
1,R4,RES 49.9K OHM 1/10W 1% 0402 SMD,ERJ-2RKF4992X,Digi-Key,P49.9KLCT-ND
2,R25 R27,RES 5.1K OHM 1/10W 1% 0402 SMD,ERJ-2RKF5101X,Digi-Key,P5.10KLCT-ND
2,R32-33,RES 2.7K OHM 1/10W 1% 0402 SMD,ERJ2RKF2701X,Digi-Key,P2.70KLCT-ND
2,C8 C10,CAP CER 10PF 50V 5% 0402,GRM1555C1H100JA01D,Digi-Key,490-5921-1-ND
4,C4 C7 C9 C17,CAP CER 0.1UF 50V 10% X5R 0402,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
8,C11-16 C18 C24,CAP CER 1UF 6.3V 10% 0402,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
1,C3,CAP CER 10000PF 25V 10% X7R 0402,GRM155R71E103KA01D,Digi-Key,490-1312-1-ND
2,C5-6,CAP CER 10UF 25V 10% X5R 1206,GRM21BR61E106KA73L,Digi-Key,490-5523-1-ND
4,C20-21 C33-34,CAP CER 22UF 25V 20% X5R 0805,GRM21BR61E226ME44L,Digi-Key,490-10749-1-ND
12,C1 C19 C22-23 C25-32,CAP CER 0.1UF 50V 10% X7R 0805,GRM21BR71H104KA01L,Digi-Key,490-1666-1-ND
1,C2,CAP CER 10UF 35V 10% X5R 1206,GRM31CR6YA106KA12L,Digi-Key,490-5524-1-ND
1,U4,IC RCVR ESD RS485/422 LP SOT23-6,ISL3283EIHZ-T,Digi-Key,ISL3283EIHZ-TCT-ND
8,R1 R29 R34-35 R37-40,RES 0.033 OHM 1% 1/2W 0805,KRL1220E-M-R033-F-T5,Digi-Key,408-1550-1-ND
48,D10 D12 D38 D40 D42 D44 D46 D72 D74 D76 D78 D80 D82 D116 D118 D120 D122 D124 D126 D128 D163 D165 D167 D169 D171 D173 D175 D177 D212 D214 D216 D218 D220 D222 D224 D251 D253 D255 D257 D259 D261 D285 D287 D289 D291 D293 D304 D306,High Power LEDs - Single Color PC Amber, 588-592nm,L135-A589003500000,Mouser,997-L135-A5890035
48,D2 D4 D18 D20 D22 D24 D26 D48 D50 D52 D54 D56 D58 D88 D90 D92 D94 D96 D98 D100 D131 D133 D135 D137 D139 D141 D143 D145 D183 D185 D187 D189 D191 D193 D195 D227 D229 D231 D233 D235 D237 D265 D267 D269 D271 D273 D296 D298,High Power LEDs - Single Color Green 520nm-540nm,L135-G525003500000,Mouser,997-L135-G5250035
48,D1 D3 D17 D19 D21 D23 D25 D47 D49 D51 D53 D55 D57 D87 D89 D91 D93 D95 D97 D99 D130 D132 D134 D136 D138 D140 D142 D144 D182 D184 D186 D188 D190 D192 D194 D226 D228 D230 D232 D234 D236 D264 D266 D268 D270 D272 D295 D297,High Power LEDs - Single Color Red 620nm-630nm,L135-R625003500000,Mouser,997-L135-R6250035
