Qty,Reference Designator,Description,Manufacturer Part Number,Vendor,Vendor Part Number
5,J2,CONN HEADER 2POS 4.2MM VERT TIN,39299023,Digi-Key,WM3853-ND
5,J1,,3220-10-0300-00,Digi-Key,1175-1629-ND
5,X1,,ABM8G-12.000MHZ-4Y-T3,Digi-Key,535-10901-1-ND
50,U1 U5 U7 U9 U11-14,IC LED MV INT SWITCH SO-8EP,AL8843SP-13,Digi-Key,AL8843SP-13DICT-ND
25,U6 U10 U15-16,IC LED DRVR TSOT25,AL8860WT-7,Digi-Key,AL8860WT-7DICT-ND
70,D13 D81-82 D84 D127 D208 D223 D260-261 D292 D305-306,,B560C-13-F,Digi-Key,B560C-FDICT-ND
10,FB1,,BLM18KG471SN1D,DIGIKEY,490-5257-1-ND
250,D5 D7 D25 D27 D29 D31 D33 D57 D59 D61 D63 D65 D67 D99 D101 D103 D105 D107 D109 D111 D144 D146 D148 D150 D152 D154 D156 D158 D194 D196 D198 D200 D202 D204 D206 D236 D238 D240 D242 D244 D246 D272 D274 D276 D278 D280 D297 D299,,BXEP-27E-435-09A-00-00-0,Digi-Key,976-1632-1-ND
250,D6 D8 D26 D28 D30 D32 D34 D58 D60 D62 D64 D66 D68 D100 D102 D104 D106 D108 D110 D112 D145 D147 D149 D151 D153 D155 D157 D159 D195 D197 D199 D201 D203 D205 D207 D237 D239 D241 D243 D245 D247 D273 D275 D277 D279 D281 D298 D300,,BXEP-50E-435-09A-00-00-0,Digi-Key,976-1636-1-ND
25,Q1-3,MOSFET 2N-CH 20V 1.33A SOT563,DMN2400UV-7,Digi-Key,DMN2400UV-7DICT-ND
100,R5-7 R10-11 R13-14 R16-18 R20 R22-23 R25 R27,,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
100,R2 R8-9 R12 R15 R19 R21,,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND
100,R4,,ERJ-2RKF1622X,Digi-Key,P16.2KLCT-ND
100,R3,,ERJ-2RKF4992X,Digi-Key,P49.9KLCT-ND
100,R24 R26,,ERJ-2RKF5101X,Digi-Key,P5.10KLCT-ND
100,R31-32,,ERJ2RKF2701X,Digi-Key,P2.70KLCT-ND
100,C8 C10,,GRM1555C1H100JA01D,Digi-Key,490-5921-1-ND
100,C4 C7 C9 C17,,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
100,C11-16 C18 C24,CAP CER 1UF 6.3V 10% 0402,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
100,C3,,GRM155R71E103KA01D,Digi-Key,490-1312-1-ND
15,C5-6,CAP CER 10UF 25V 10% X5R 1206,GRM21BR61E106KA73L,Digi-Key,490-5523-1-ND
25,C20-21 C33-34,,GRM21BR61E226ME44L,Digi-Key,490-10749-1-ND
100,C1 C19 C22-23 C25-32,,GRM21BR71H104KA01L,Digi-Key,490-1666-1-ND
10,C2,,GRM31CR6YA106KA12L,Digi-Key,490-5524-1-ND
5,U4,,ISL3283EIHZ-T,Digi-Key,ISL3283EIHZ-TCT-ND
100,R1 R28 R33-34 R36-39,,KRL1220E-M-R033-F-T5,Digi-Key,408-1550-1-ND
5,U8,,MCP9808T-E/MC,Digi-Key,MCP9808T-E/MCCT-ND
5,U3,,MKV11Z64VFM7,Digi-Key,568-13578-ND
5,L2,,NRS2012T1R0NGJ,Digi-Key,587-3448-1-ND
35,D83 D176-179 D307,DIODE SCHOTTKY 45V 15A 5DFN,NTS1545MFST1G,Digi-Key,NTS1545MFST1GOSTR-ND
10,D14,,RB160M-60TR,Digi-Key,RB160M-60CT-ND
100,R30 R35 R40-41,,RL1220S-R12-F,Digi-Key,RL12S.12FCT-ND
100,R29 R42,,RNCP1206FTD499R,Digi-Key,RNCP1206FTD499RCT-ND
65,L1 L3-13,,SRR1210-330M,,SRR1210-330MCT-ND
