Qty,Reference Designator,Description,Manufacturer Part Number,Vendor,Vendor Part Number
1,J2,,,,
1,F1,,,,
2,U1-2,IC QUAD 2-IN AND GATE 14-SOIC,,Digi-Key,
2,U3 U5,IC DUAL INVERTER GATE SC-70-6,,Digi-Key,
1,J1,8 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.200" (5.08mm) Vertical Through Hole,0395311008,Digi-Key,WM7842-ND
1,J3,CONN HDR 2POS 7.50MM R/A SLDR,1720430202,Digi-Key,1720430202-ND
1,U11,IC REG BUCK SYNC ADJ 6A 30LQFN,AOZ1232QI-01,Digi-Key,785-1644-1-ND
8,U6-9 U12-13 U15-16,IC MOTOR DRIVER PAR TO263-7,BTN8962TAAUMA1,Digi-Key,BTN8962TAAUMA1INCT-ND
4,R5 R25 R31 R34,RES SMD 0.005 OHM 1% 1W 1206,CSRF1206FT5L00,Digi-Key,CSRF1206FT5L00TR-ND
2,C6-7,,EEU-HD1V222B,Digi-Key,P15768CT-ND
4,R1-2 R14 R20,RES 10K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND
12,R6-7 R10 R12 R16 R21 R26-27 R30 R32-33 R35,RES 0 OHM 1/10W 0402 SMD,ERJ-2RKF1912X,Digi-Key,P0.0JCT-ND
1,R17,RES 40.2K OHM 1/10W 1% 0402 SMD,ERJ-2RKF4022X,Digi-Key,P40.2KLCT-ND
1,R15,RES 402K OHM 1/10W 1% 0402 SMD,ERJ-2RKF4023X,Digi-Key,P402KLCT-ND
8,R3-4 R8-9 R23-24 R28-29,,ERJ-2RKF5101X,Digi-Key,P5.10KLCT-ND
1,R18,RES 59K OHM 1/10W 1% 0402 SMD,ERJ-2RKF5902X,Digi-Key,P59.0KLCT-ND
4,C14 C31 C36 C39,CAP CER 1000PF 50V 10% X5R 0402,GRM155R61H102KA01D,Digi-Key,490-6316-1-ND
8,C1 C8 C17 C21-22 C34 C37-38,CAP CER 0.1UF 50V 10% X5R 0402,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
12,C16 C3 C18 C4-5 C27-28 C32-33 C2 C10-11,,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
1,C20,CAP CER 1UF 6.3V 10% 0402,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
2,C15 C19,CAP CER 47UF 10V 20% X5R 1206,GRM31CR61A476ME15L,Digi-Key,490-5528-1-ND
2,C23 C26,CAP CER 10UF 25V 10% X5R 1206,GRM31CR61H106KA12L,Digi-Key,490-5961-1-ND
8,C9 C12-13 C24-25 C29-30 C35,CAP CER 10UF 50V 10% X7R 1210,GRM32ER71H106KA12L,Digi-Key,490-6544-1-ND
4,U10 U14 U17-18,IC OPAMP CURR SENSE 14KHZ SC70-6,INA213BIDCKR,Digi-Key,296-40129-1-ND
4,R11 R13 R19 R22,RES NS 0402 SMD,NS,NA,NS
1,L1,FIXED IND 10UH 6.5A 18 MOHM SMD,SRR1210-100M,Digi-Key,SRR1210-100MCT-ND
1,U4,IC OPAMP GP 500KHZ RRO 8SOIC,TLV2762IDR,Digi-Key,296-10665-1-ND
