Item,Qty,Reference,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
1,4,F1-2,FUSE CLIP CARTRIDGE 250V 30A PCB,Littelfuse,01020078H,Digi-Key,F042-ND
2,1,J1,,Sullins,SBH11-NBPC-D12-SM-BK,Digi-Key,S9189-ND
3,16,Q3-4 Q7-8 Q13-14 Q17-18 Q23-24 Q27-28 Q33-34 Q37-38,,Fairchild,2N7002,Digi-Key,2N7002NTR-ND
4,8,R5 R32-33 R56-57 R80-81 R104,150k Ohm ±1% 2W Chip Resistor 2512 (6432 Metric) Thick Film,TE Connectivity Passive Product,3521150KFT,Digi-Key,A116084CT-ND
5,2,J2-3,"CONN BARRIER STRIP 6CIRC 0.438""",TE Connectivity,8PCV-06-006,Digi-Key,A98464-ND
6,8,D4-5 D12-13 D20-21 D28-29,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,Digi-Key,B360A-FDICT-ND
7,8,C2 C11 C14 C24 C28 C37 C40 C49,CAP CER 0.022UF 50V 10% X7R 0402,Murata,GRM155R71H223KA12D,Digi-Key,490-3884-1-ND
8,18,C3-4 C9-10 C15-16 C21-23 C26 C29-30 C35-36 C41-42 C47-48,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
9,16,C5-8 C17-20 C31-34 C43-46,CAP CER 4.7UF 35V 10% X5R 0603,Murata,GRM188R6YA475KE15D,Digi-Key,490-7205-1-ND
11,8,T1-8,1 : 500 Current Sense Transformer 3 mOhm Primary,Triad Magnetics,CSE187L,Digi-Key,237-1103-ND
12,8,U2 U5 U8 U11 U16 U19 U22 U25,AC Dimmer Controller PMIC 10-SOIC,Fairchild,FL5160MX,Digi-Key,FL5160MXCT-ND
13,2,U12 U14,,,,Digi-Key,MC74HC595ADTR2GOSCT-ND
14,8,D3 D6 D11 D14 D19 D22 D27 D30,Zener Diode 7.5V 300mW ±2% Surface Mount SOD-323,On Semi,MM3Z7V5ST1G,Digi-Key,MM3Z7V5ST1GOSCT-ND
15,8,TV1-8,MOV,,,,MOV-14D241K-ND
16,8,Q2 Q9 Q12 Q19 Q22 Q29 Q32 Q39,Bipolar (BJT) Transistor NPN 600V 100mA 650mW Surface Mount SOT-223,Nexperia,PBHV2160ZX,Digi-Key,1727-2365-1-ND
17,16,U1 U3-4 U6-7 U9-10 U13 U15 U17-18 U20-21 U23-24 U26,OPTOISOLATOR 2.5KV TRANS 4-SSOP,CEL,PS2801-1-F3-A,Digi-Key,PS2801-1ACT-ND
18,8,R8 R29 R36 R53 R60 R77 R84 R101,RES 10K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND
19,16,R16 R19 R22 R25 R40 R43 R46 R49 R64 R67 R70 R73 R88 R91 R94 R97,RES 120 OHM 1/10W 5% 0402 SMD,Panasonic - ECG,ERJ-2GEJ121X,Digi-Key,P120JCT-ND
20,8,R6 R31 R34 R55 R58 R79 R82 R103,RES 1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
21,8,R10 R26 R38 R50 R62 R74 R86 R98,RES 1M OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1004X,,P1.00MLCT-ND
22,8,R9 R27 R37 R51 R61 R75 R85 R99,RES 2.05K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF2051X,Digi-Key,P2.05KLCT-ND
23,16,R18 R20-21 R23 R42 R44-45 R47 R66 R68-69 R71 R90 R92-93 R95,RES 2.7K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ2RKF2701X,Digi-Key,P2.70KLCT-ND
24,16,R15 R17 R24 R28 R39 R41 R48 R52 R63 R65 R72 R76 R87 R89 R96 R100,RES 2M OHM 1/10W 5% 0402 SMD,Panasonic - ECG,ERJ-2GEJ205X,Digi-Key,P2.0MJCT-ND
25,8,R7 R30 R35 R54 R59 R78 R83 R102,RES 49.9K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4992X,Digi-Key,P49.9KLCT-ND
26,8,R1-4 R11-14,RES 49.9 OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF49R9X,Digi-Key,P49.9LCT-ND
27,16,D1-2 D7-10 D15-18 D23-26 D31-32,Diode Standard 1000V (1kV) 1A Surface Mount SMA (DO-214AC),Fairchild/ON Semiconductor,RS1M,Digi-Key,RS1MFSCT-ND
28,16,Q1 Q5-6 Q10-11 Q15-16 Q20-21 Q25-26 Q30-31 Q35-36 Q40,N-Channel 500V 22A (Tc) 190W (Tc) Surface Mount TO-263 (D²Pak),ST Micro,STB32NM50N,Digi-Key,497-13264-1-ND
29,10,K1-10,RELAY GEN PURPOSE SPDT 20A 5V,TE Connectivity,T9AS5D12-5,Digi-Key,T9AS5D12-5-ND
