Qty,Reference,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
4,F1-4,FUSE CLIP CARTRIDGE 250V 30A PCB,Littelfuse,01020078H,Digi-Key,F042-ND
1,J1,CONN HEADR 2.54MM 24POS GOLD SMD,Sullins,SBH11-NBPC-D12-SM-BK,Digi-Key,S9189-ND
13,J2-14,0.250" (6.35mm) Quick Connect Male Solder Connector Non-Insulated,Keystone Electronics,1287-ST,Digi-Key,36-1287-ST-ND
14,Q1-4 Q12-19 Q22-23,MOSFET N-CH 60V 115MA SOT-23,Fairchild,2N7002,Digi-Key,2N7002NTR-ND
8,R37 R45 R66 R73 R92 R99 R118 R125,150k Ohm ±1% 2W Chip Resistor 2512 (6432 Metric) Thick Film,TE Connectivity Passive Product,3521150KFT,Digi-Key,A116084CT-ND
14,R9-12 R21 R55 R58 R83-84 R108 R110 R132 R134-135,1M Ohm ±1% 2W Chip Resistor 2512 (6432 Metric) Thick Film,TE Connectivity Passive Product,35211M0FT,Digi-Key,A116104CT-ND
8,R22 R57 R60 R82 R87 R109 R112 R136,RES NS 2512,NA,NS,NA,NS
1,U23,IC SHIFT REGISTER 8BIT 16-TSSOP,ON Semi,MC74HC165ADTR2G,Digi-Key,MC74HC165ADTR2GOSCT-ND
10,D19-26 D31-32,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,Digi-Key,B360A-FDICT-ND
8,D3-6 D12-15,DIODE ARRAY 70V 200MA SOT23,Diodes Inc.,BAV99-7-F,Digi-Key,BAV99-FDICT-ND
5,C1-4 C40,CAP CER .1UF 25V 10% 0402,Murata,GRM155R61E104KA87D,Digi-Key,490-5920-1-ND
8,C7-10 C12-15,CAP CER NS 0402,NA,NS,NA,NS
8,C19-20 C33-34 C50-51 C60-61,CAP CER 0.022UF 50V 10% X7R 0402,Murata,GRM155R71H223KA12D,Digi-Key,490-3884-1-ND
14,C6 C11 C24-25 C28-29 C38-39 C43 C45 C49 C55-56 C65,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
3,C41-42 C44,CAP CER 1000PF 100V 10% X7R 0402,Murata,GRM155R72A102KA01D,Digi-Key,490-6366-1-ND
16,C16-17 C26-27 C30-31 C36-37 C46-47 C53-54 C57-58 C63-64,CAP CER 4.7UF 35V 10% X5R 0603,Murata,GRM188R6YA475KE15D,Digi-Key,490-7205-1-ND
3,C5 C21-22,CAP CER 10UF 10V 10% X5R 0805,Murata,GRM21BR61A106KE19L,Digi-Key,490-1709-1-ND
8,C18 C23 C32 C35 C48 C52 C59 C62,CAP CER NS 1210,NA,NS,NA,NS
8,U6 U9 U12 U15 U20 U25 U28 U31,AC Dimmer Controller PMIC 10-SOIC,Fairchild,FL5160MX,Digi-Key,FL5160MXCT-ND
3,U17-18 U22,IC SHFT REG SSOP-P-300,Texas Instruments,SN74LVC3G07DCTR,Digi-Key,TC74HC595AFNF-ND
12,D1-2 D7-8 D11 D16 D29-30 D37-38 D43-44,Zener Diode 7.5V 300mW ±2% Surface Mount SOD-323,On Semi,MM3Z7V5ST1G,Digi-Key,MM3Z7V5ST1GOSCT-ND
8,TV1-8,MOV,Bourns,MOV-14D241K,,
9,Q7-9 Q24-25 Q30-31 Q36-37,Bipolar (BJT) Transistor NPN 600V 100mA 650mW Surface Mount SOT-223,Nexperia,PBHV2160ZX,Digi-Key,1727-2365-1-ND
20,U1-5 U7-8 U10-11 U13-14 U16 U19 U21 U24 U26-27 U29-30 U32,OPTOISOLATOR 2.5KV TRANS 4-SSOP,CEL,PS2801-1-F3-A,Digi-Key,PS2801-1ACT-ND
